time_s,soc_percent,pack_voltage_V,pack_current_A,cell_1_V,cell_2_V,cell_3_V,cell_4_V,cell_5_V,cell_6_V,cell_7_V,cell_8_V,cell_9_V,cell_10_V,cell_11_V,cell_12_V,cell_13_V,cell_14_V,cell_15_V,cell_16_V,cell_1_temp_C,cell_2_temp_C,cell_3_temp_C,cell_4_temp_C,cell_5_temp_C,cell_6_temp_C,cell_7_temp_C,cell_8_temp_C,cell_9_temp_C,cell_10_temp_C,cell_11_temp_C,cell_12_temp_C,cell_13_temp_C,cell_14_temp_C,cell_15_temp_C,cell_16_temp_C
0.000000,99.727837,55.538723,-1.000000,3.472000,3.468707,3.472000,3.472000,3.472000,3.472000,3.472000,3.468190,3.472000,3.469401,3.472000,3.471660,3.471368,3.471416,3.469984,3.472000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000
0.100000,99.727810,55.538717,-1.000000,3.471999,3.468707,3.471999,3.471999,3.471999,3.471999,3.471999,3.468189,3.471999,3.469400,3.471999,3.471660,3.471368,3.471416,3.469983,3.471999,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001
0.200000,99.727782,55.538710,-1.000000,3.471999,3.468707,3.471999,3.471999,3.471999,3.471999,3.471999,3.468189,3.471999,3.469400,3.471999,3.471659,3.471368,3.471416,3.469983,3.471999,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001,25.000001
0.300000,99.727754,55.538704,-1.000000,3.471998,3.468706,3.471998,3.471998,3.471998,3.471998,3.471998,3.468189,3.471998,3.469400,3.471998,3.471659,3.471367,3.471415,3.469982,3.471998,25.000002,25.000002,25.000001,25.000002,25.000001,25.000001,25.000001,25.000001,25.000002,25.000002,25.000002,25.000002,25.000001,25.000001,25.000002,25.000001
0.400000,99.727727,55.538698,-1.000000,3.471998,3.468706,3.471998,3.471998,3.471998,3.471998,3.471998,3.468188,3.471998,3.469399,3.471998,3.471658,3.471367,3.471415,3.469982,3.471998,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002
0.500000,99.727699,55.538692,-1.000000,3.471998,3.468705,3.471998,3.471998,3.471998,3.471998,3.471998,3.468188,3.471998,3.469399,3.471998,3.471658,3.471366,3.471414,3.469982,3.471998,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002,25.000002
0.600000,99.727671,55.538686,-1.000000,3.471997,3.468705,3.471997,3.471997,3.471997,3.471997,3.471997,3.468187,3.471997,3.469399,3.471997,3.471658,3.471366,3.471414,3.469981,3.471997,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003
0.700000,99.727644,55.538679,-1.000000,3.471997,3.468705,3.471997,3.471997,3.471997,3.471997,3.471997,3.468187,3.471997,3.469398,3.471997,3.471657,3.471366,3.471414,3.469981,3.471997,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003
0.800000,99.727616,55.538673,-1.000000,3.471997,3.468704,3.471997,3.471997,3.471997,3.471996,3.471996,3.468187,3.471997,3.469398,3.471997,3.471657,3.471365,3.471413,3.469981,3.471997,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003,25.000003
0.900000,99.727588,55.538667,-1.000000,3.471996,3.468704,3.471996,3.471996,3.471996,3.471996,3.471996,3.468186,3.471996,3.469397,3.471996,3.471657,3.471365,3.471413,3.469980,3.471996,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004
1.000000,99.727561,55.538661,-1.000000,3.471996,3.468703,3.471996,3.471996,3.471996,3.471996,3.471996,3.468186,3.471996,3.469397,3.471996,3.471656,3.471364,3.471413,3.469980,3.471996,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004,25.000004
1.100000,99.727533,55.538655,-1.000000,3.471995,3.468703,3.471995,3.471995,3.471995,3.471995,3.471995,3.468185,3.471995,3.469397,3.471995,3.471656,3.471364,3.471412,3.469979,3.471995,25.000005,25.000005,25.000004,25.000005,25.000004,25.000004,25.000004,25.000004,25.000005,25.000005,25.000005,25.000005,25.000004,25.000004,25.000005,25.000004
1.200000,99.727505,55.538648,-1.000000,3.471995,3.468703,3.471995,3.471995,3.471995,3.471995,3.471995,3.468185,3.471995,3.469396,3.471995,3.471655,3.471364,3.471412,3.469979,3.471995,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005
1.300000,99.727478,55.538642,-1.000000,3.471995,3.468702,3.471995,3.471995,3.471995,3.471995,3.471995,3.468185,3.471995,3.469396,3.471995,3.471655,3.471363,3.471411,3.469979,3.471995,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005,25.000005
1.400000,99.727450,55.538636,-1.000000,3.471994,3.468702,3.471994,3.471994,3.471994,3.471994,3.471994,3.468184,3.471994,3.469395,3.471994,3.471655,3.471363,3.471411,3.469978,3.471994,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000005,25.000006,25.000006,25.000006,25.000006,25.000005,25.000005,25.000006,25.000006
1.500000,99.727422,55.538630,-1.000000,3.471994,3.468702,3.471994,3.471994,3.471994,3.471994,3.471994,3.468184,3.471994,3.469395,3.471994,3.471654,3.471362,3.471411,3.469978,3.471994,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006
1.600000,99.727395,55.538623,-1.000000,3.471993,3.468701,3.471993,3.471993,3.471993,3.471993,3.471993,3.468184,3.471993,3.469395,3.471993,3.471654,3.471362,3.471410,3.469977,3.471993,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006,25.000006
1.700000,99.727367,55.538617,-1.000000,3.471993,3.468701,3.471993,3.471993,3.471993,3.471993,3.471993,3.468183,3.471993,3.469394,3.471993,3.471653,3.471362,3.471410,3.469977,3.471993,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007
1.800000,99.727339,55.538611,-1.000000,3.471993,3.468700,3.471993,3.471993,3.471993,3.471993,3.471993,3.468183,3.471993,3.469394,3.471993,3.471653,3.471361,3.471409,3.469977,3.471993,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007,25.000007
1.900000,99.727312,55.538605,-1.000000,3.471992,3.468700,3.471992,3.471992,3.471992,3.471992,3.471992,3.468182,3.471992,3.469394,3.471992,3.471653,3.471361,3.471409,3.469976,3.471992,25.000008,25.000007,25.000007,25.000008,25.000007,25.000007,25.000007,25.000007,25.000008,25.000008,25.000008,25.000008,25.000007,25.000007,25.000008,25.000007
2.000000,99.727284,55.538599,-1.000000,3.471992,3.468700,3.471992,3.471992,3.471992,3.471992,3.471992,3.468182,3.471992,3.469393,3.471992,3.471652,3.471361,3.471409,3.469976,3.471992,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008
2.100000,99.727256,55.538592,-1.000000,3.471991,3.468699,3.471991,3.471991,3.471991,3.471991,3.471991,3.468182,3.471991,3.469393,3.471991,3.471652,3.471360,3.471408,3.469976,3.471992,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008,25.000008
2.200000,99.727228,55.538586,-1.000000,3.471991,3.468699,3.471991,3.471991,3.471991,3.471991,3.471991,3.468181,3.471991,3.469392,3.471991,3.471651,3.471360,3.471408,3.469975,3.471991,25.000009,25.000009,25.000009,25.000009,25.000009,25.000008,25.000008,25.000008,25.000009,25.000009,25.000009,25.000009,25.000008,25.000008,25.000009,25.000009
2.300000,99.727201,55.538580,-1.000000,3.471991,3.468698,3.471991,3.471991,3.471991,3.471991,3.471991,3.468181,3.471991,3.469392,3.471991,3.471651,3.471359,3.471407,3.469975,3.471991,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009
2.400000,99.727173,55.538574,-1.000000,3.471990,3.468698,3.471990,3.471990,3.471990,3.471990,3.471990,3.468180,3.471990,3.469392,3.471990,3.471651,3.471359,3.471407,3.469974,3.471990,25.000009,25.000009,25.000009,25.000010,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000009,25.000010,25.000009
2.500000,99.727145,55.538568,-1.000000,3.471990,3.468698,3.471990,3.471990,3.471990,3.471990,3.471990,3.468180,3.471990,3.469391,3.471990,3.471650,3.471359,3.471407,3.469974,3.471990,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000009,25.000010,25.000010,25.000010,25.000010,25.000009,25.000009,25.000010,25.000010
2.600000,99.727118,55.538561,-1.000000,3.471990,3.468697,3.471990,3.471990,3.471990,3.471989,3.471989,3.468180,3.471990,3.469391,3.471990,3.471650,3.471358,3.471406,3.469974,3.471990,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010,25.000010
2.700000,99.727090,55.538555,-1.000000,3.471989,3.468697,3.471989,3.471989,3.471989,3.471989,3.471989,3.468179,3.471989,3.469390,3.471989,3.471650,3.471358,3.471406,3.469973,3.471989,25.000011,25.000010,25.000010,25.000011,25.000010,25.000010,25.000010,25.000010,25.000011,25.000011,25.000011,25.000010,25.000010,25.000010,25.000011,25.000010
2.800000,99.727062,55.538549,-1.000000,3.471989,3.468696,3.471989,3.471989,3.471989,3.471989,3.471989,3.468179,3.471989,3.469390,3.471989,3.471649,3.471357,3.471405,3.469973,3.471989,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011
2.900000,99.727035,55.538543,-1.000000,3.471988,3.468696,3.471988,3.471988,3.471988,3.471988,3.471988,3.468178,3.471988,3.469390,3.471988,3.471649,3.471357,3.471405,3.469972,3.471988,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011,25.000011
3.000000,99.727007,55.538536,-1.000000,3.471988,3.468696,3.471988,3.471988,3.471988,3.471988,3.471988,3.468178,3.471988,3.469389,3.471988,3.471648,3.471357,3.471405,3.469972,3.471988,25.000012,25.000012,25.000011,25.000012,25.000011,25.000011,25.000011,25.000011,25.000012,25.000012,25.000012,25.000012,25.000011,25.000011,25.000012,25.000011
3.100000,99.726979,55.538530,-1.000000,3.471988,3.468695,3.471988,3.471988,3.471988,3.471987,3.471987,3.468178,3.471988,3.469389,3.471988,3.471648,3.471356,3.471404,3.469972,3.471988,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012
3.200000,99.726952,55.538524,-1.000000,3.471987,3.468695,3.471987,3.471987,3.471987,3.471987,3.471987,3.468177,3.471987,3.469388,3.471987,3.471648,3.471356,3.471404,3.469971,3.471987,25.000013,25.000012,25.000012,25.000013,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000012,25.000013,25.000012
3.300000,99.726924,55.538518,-1.000000,3.471987,3.468695,3.471987,3.471987,3.471987,3.471987,3.471987,3.468177,3.471987,3.469388,3.471987,3.471647,3.471355,3.471404,3.469971,3.471987,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000012,25.000012,25.000013,25.000013,25.000013,25.000013,25.000012,25.000012,25.000013,25.000013
3.400000,99.726896,55.538512,-1.000000,3.471986,3.468694,3.471986,3.471986,3.471986,3.471986,3.471986,3.468177,3.471986,3.469388,3.471986,3.471647,3.471355,3.471403,3.469970,3.471986,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013,25.000013
3.500000,99.726869,55.538505,-1.000000,3.471986,3.468694,3.471986,3.471986,3.471986,3.471986,3.471986,3.468176,3.471986,3.469387,3.471986,3.471646,3.471355,3.471403,3.469970,3.471986,25.000014,25.000013,25.000013,25.000014,25.000013,25.000013,25.000013,25.000013,25.000013,25.000014,25.000013,25.000013,25.000013,25.000013,25.000014,25.000013
3.600000,99.726841,55.538499,-1.000000,3.471986,3.468693,3.471986,3.471986,3.471986,3.471986,3.471986,3.468176,3.471986,3.469387,3.471986,3.471646,3.471354,3.471402,3.469970,3.471986,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000013,25.000014,25.000014,25.000014,25.000014,25.000013,25.000013,25.000014,25.000014
3.700000,99.726813,55.538493,-1.000000,3.471985,3.468693,3.471985,3.471985,3.471985,3.471985,3.471985,3.468175,3.471985,3.469387,3.471985,3.471646,3.471354,3.471402,3.469969,3.471985,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014,25.000014
3.800000,99.726786,55.538487,-1.000000,3.471985,3.468693,3.471985,3.471985,3.471985,3.471985,3.471985,3.468175,3.471985,3.469386,3.471985,3.471645,3.471353,3.471402,3.469969,3.471985,25.000015,25.000015,25.000014,25.000015,25.000014,25.000014,25.000014,25.000014,25.000015,25.000015,25.000015,25.000015,25.000014,25.000014,25.000015,25.000014
3.900000,99.726758,55.538481,-1.000000,3.471985,3.468692,3.471984,3.471984,3.471985,3.471984,3.471984,3.468175,3.471985,3.469386,3.471985,3.471645,3.471353,3.471401,3.469969,3.471985,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015
4.000000,99.726730,55.538474,-1.000000,3.471984,3.468692,3.471984,3.471984,3.471984,3.471984,3.471984,3.468174,3.471984,3.469385,3.471984,3.471644,3.471353,3.471401,3.469968,3.471984,25.000016,25.000015,25.000015,25.000016,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000015,25.000016,25.000015
4.100000,99.726703,55.538468,-1.000000,3.471984,3.468691,3.471984,3.471984,3.471984,3.471984,3.471984,3.468174,3.471984,3.469385,3.471984,3.471644,3.471352,3.471400,3.469968,3.471984,25.000016,25.000016,25.000015,25.000016,25.000016,25.000015,25.000015,25.000015,25.000016,25.000016,25.000016,25.000016,25.000015,25.000015,25.000016,25.000015
4.200000,99.726675,55.538462,-1.000000,3.471983,3.468691,3.471983,3.471983,3.471983,3.471983,3.471983,3.468173,3.471983,3.469385,3.471983,3.471644,3.471352,3.471400,3.469967,3.471983,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016,25.000016
4.300000,99.726647,55.538456,-1.000000,3.471983,3.468691,3.471983,3.471983,3.471983,3.471983,3.471983,3.468173,3.471983,3.469384,3.471983,3.471643,3.471352,3.471400,3.469967,3.471983,25.000017,25.000016,25.000016,25.000017,25.000016,25.000016,25.000016,25.000016,25.000016,25.000017,25.000016,25.000016,25.000016,25.000016,25.000017,25.000016
4.400000,99.726619,55.538449,-1.000000,3.471983,3.468690,3.471983,3.471983,3.471983,3.471982,3.471982,3.468173,3.471983,3.469384,3.471983,3.471643,3.471351,3.471399,3.469967,3.471983,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000016,25.000016,25.000017,25.000017,25.000017,25.000017,25.000016,25.000016,25.000017,25.000017
4.500000,99.726592,55.538443,-1.000000,3.471982,3.468690,3.471982,3.471982,3.471982,3.471982,3.471982,3.468172,3.471982,3.469383,3.471982,3.471643,3.471351,3.471399,3.469966,3.471982,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017,25.000017
4.600000,99.726564,55.538437,-1.000000,3.471982,3.468689,3.471982,3.471982,3.471982,3.471982,3.471982,3.468172,3.471982,3.469383,3.471982,3.471642,3.471350,3.471398,3.469966,3.471982,25.000018,25.000018,25.000017,25.000018,25.000017,25.000017,25.000017,25.000017,25.000018,25.000018,25.000018,25.000018,25.000017,25.000017,25.000018,25.000017
4.700000,99.726536,55.538431,-1.000000,3.471981,3.468689,3.471981,3.471981,3.471981,3.471981,3.471981,3.468172,3.471981,3.469383,3.471981,3.471642,3.471350,3.471398,3.469965,3.471981,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000017,25.000018,25.000018,25.000018,25.000018,25.000017,25.000017,25.000018,25.000018
4.800000,99.726509,55.538425,-1.000000,3.471981,3.468689,3.471981,3.471981,3.471981,3.471981,3.471981,3.468171,3.471981,3.469382,3.471981,3.471641,3.471350,3.471398,3.469965,3.471981,25.000019,25.000018,25.000018,25.000019,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000018,25.000019,25.000018
